artist.id,artist.name,id
1T8S48bD91THNKBByWBDyn,Dwayne Johnson,6U4VqEHy4n5VeiH4pQPL24
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,6mFkJmJqdDVQ1REhVfGgd1
1RyvyyTE3xzB2ZywiAwp0i,Future,7EiZI6JVHllARrX9PUvAdX
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,7EiZI6JVHllARrX9PUvAdX
4dpARuHxo51G3z768sgnrY,Adele,7IWkJwX9C0J7tHurTD7ViL
5INjqkS1o8h1imAzPqGZBb,Tame Impala,0LtOwyZoSNZKJWHqjzADpW
53A0W3U0s8diEn9RhXQhVz,Keane,0ll8uFnc0nANY35E0Lfxvg
7jdFEYD2LTYjfwxOdlVjmc,KALEO,0y1QJc3SJVPKJ1OvFmFqe6
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,1DLfR4MOfLYbV6v3xrmWa8
3twuAojvYNrlWZpMkxLm3P,Daveed Diggs,1DLfR4MOfLYbV6v3xrmWa8
3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,1DLfR4MOfLYbV6v3xrmWa8
6G3sPhnj4JBCsBVBGvZnkk,Okieriete Onaodowan,1DLfR4MOfLYbV6v3xrmWa8
6yJCxee7QumYr820xdIsjo,Zac Brown Band,23hDnIFoFlVTDA6y8YrJoR
0dEvJpkqhrcn64d3oI8v79,Barenaked Ladies,29hBRadFZf9QTGRHZmxm65
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,37FXw5QGFN7uwwsLy8uAc0
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,37FXw5QGFN7uwwsLy8uAc0
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,3Cx4yrFaX8CeHwBMReOWXI
2jHp7gQArCQrlMvdrIVFCg,Anson Seabra,3JfHYZKy5JmE5Fv4gDTCiz
6LqNN22kT3074XbTVUrhzX,Kesha,3LUWWox8YYykohBbHUrrxd
3hyEbRtp617pNCuuQjyOmc,Lost Kings,4mEILaBM7bKZqKAun5tABu
2fsk4VlJdNF6G8cCMDrrzB,Norma Jean Martine,4mEILaBM7bKZqKAun5tABu
1dfeR4HaWDbWqFHLkxsg1d,Queen,54flyrjcdnQdco7300avMJ
